1NO0000001	-----Case# 45602-----
1NO0001762	Analysis -> After several attempts to modify the Missile Launcher to increase its accuracy, I conclude that it cannot be done.  In fact, this is third one I've "broken" in the past month.  I will pass the task on to L. J. Rogers, who seems confident enough that it can be modified and that I merely overlooked obvious miscalculations.  Technically, the Missile Launcher I've recently worked on is not broken.  It just does not function properly.  I have since locked it up in Weapons Storage.
1NO0001763	Field Report
1NO0001765	0700 Surface Patrol (Fairfax)
1NO0001767	Raider activity in town has increased dramatically ever since we've taken up positions in and around the fort.  We've killed a lot of them and scared off plenty others, but they just keep coming back.  While there seems to be no limit to people willing to reduce themselves to their way of life, we don't have the luxury of surplus personnel, so we must remain vigilant.
1NO0001768	That the raiders take such continued risks to invade our facility appears to confirm suspicions that we've had an intelligence leak, and they're after our technology.  They've tried tenaciously to infiltrate the base, but so far haven't stood a chance.  Our objective remains the same - protect the research personnel and keep this fort safe until more reinforcements arrive.
1NO0001771	0300 SpecOps Recon Patrol
1NO0001772	Defender Morgan and I executed a reconnaissance mission last night to gauge Raider entrenchment in the structural underground of Fairfax.  We located three entrances into underground utility tunnels.
1NO0001773	We are able to confirm that the enemy has occupied and fortified positions within the underground, though some appear undefended.  We also identified a small weapons cache in the southeast section of the tunnels.  While deploying explosives to demolish the cache we were discovered by a Raider patrol.  In accordance to mission parameters, we did not engage the enemy, instead retreating to Fort.  Raiders will be likely to set up defenses and attach more patrols to the area as a result.
1NO0001774	Author: Moira Brown Research Assistant: [%] This confusing guidebook is filled with dangerously misinformed tips for survival in the wastes. It is complete with misleading tips about wasteland dangers, rambling notes about mutated creatures, and laughably naive suggestions about rebuilding humanity. Worst of all, it tries to sound highbrow while offering this poor information. Following its advice would be an invitation to a tragic end.
1NO0001779	Author: Moira Brown Research Assistant: [%] This over-the-top  guidebook is filled with dangerously misinformed tips for survival in the wastes. It is complete with misleading tips about wasteland dangers, rambling notes about mutated creatures, and laughably naive suggestions about rebuilding humanity. Although it suggests that it is written for the hardcore survivalists and "tough as nails" enthusiast, following its advice would be an invitation to a tragic end.
1NO0001784	Author: Moira Brown Research Assistant: [%] This self-satisfied guidebook is filled with dangerously misinformed tips for survival in the wastes. It is complete with misleading tips about wasteland dangers, rambling notes about mutated creatures, and laughably naive suggestions about rebuilding humanity. Although it has a few cleverly described parts, following its advice would be an invitation to a tragic end.
1NO0001789	Author: Moira Brown Research Assistant: [%] This cheesy guidebook is filled with dangerously misinformed tips for survival in the wastes. It is complete with misleading tips about wasteland dangers, rambling notes about mutated creatures, and laughably naive suggestions about rebuilding humanity. Although it provides some comedy, following its advice would be an invitation to a tragic end.
1NO0001794	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It has a handful of useful facts about survival in the wasteland, but is burdened by rambling notes about mutated creatures, and naively misinformed suggestions about rebuilding humanity. Its detailed focus helps in some areas, but is simply confusing in others, especially when the content itself is questionable.
1NO0001799	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It has a handful of useful facts about survival in the wasteland, but is burdened by rambling notes about mutated creatures, and naively misinformed suggestions about rebuilding humanity. A focus on personal strength and endurance will help tough survivors, but may lead others to a false sense of invulnerability.
1NO0001804	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It has a handful of useful facts about survival in the wasteland, but is burdened by rambling notes about mutated creatures, and naively misinformed suggestions about rebuilding humanity. While cleverly written and absorbing, its questionable content may lead to people learning dangerously misinformed lessons.
1NO0001809	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It has a handful of useful facts about survival in the wasteland, but is burdened by rambling notes about mutated creatures, and naively misinformed suggestions about rebuilding humanity. While its biting tone can be amusing, the quality of the content leads one to wonder if the authors actually want to help the reader, or if they want to lead them to their doom.
1NO0001814	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It contains some real gems on first aid and interacting with the denizens of the wastes, but these are dragged down by dangerously misleading survival tips and naively misinformed suggestions about rebuilding humanity. Its detailed focus helps in some areas, but is simply confusing in others, especially when the content itself is questionable.
1NO0001819	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It contains some real gems on first aid and interacting with the denizens of the wastes, but these are dragged down by dangerously misleading survival tips and naively misinformed suggestions about rebuilding humanity. A focus on personal strength and endurance will help tough survivors, but may lead others to a false sense of invulnerability.
1NO0001824	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It contains some real gems on first aid and interacting with the denizens of the wastes, but these are dragged down by dangerously misleading survival tips and naively misinformed suggestions about rebuilding humanity. While cleverly written and absorbing, its questionable content may lead to people learning dangerously misinformed lessons.
1NO0001829	Author: Moira Brown Researcher: [%] This moderate guidebook contains little of use to experienced wasteland survivors, but could be considered a decent beginner's guide. It contains some real gems on first aid and interacting with the denizens of the wastes, but these are dragged down by dangerously misleading survival tips and naively misinformed suggestions about rebuilding humanity. While its biting tone can be amusing, the quality of the content leads one to wonder if the authors actually want to help the reader, or if they want to lead them to their doom.
